FOO KEE SEAFOOD RESTAURANT,10B;06C;10F;08C;02G;06E;05H;02B;10B;02B;10B;06A;06C;08C;10B;02B;04L;06D;05D;04L;08A;06F;09B;08A;06D;06E;09C;99B;06F;04K;08A;10B;06C;10F;22C;02G;06B;09B;06C;09C;10F;08A;04L;10F;02G;99B;04H;04M;06D;06E;04M;06D;10F;06C;10B;04L;04N;06C;10B;04C;04M;06E;06D;08A;10F;
WONDEE SIAM,
HOP LEE RESTAURANT,
SWEET HOME CUISINE,10F;04A;06C;10F;10F;06C;02G;10F;02B;06F;05H;
BKNY THAI RESTAURANT,;10G;10F;10F;02G;10F;02G;04H;08A;02B;10G;09D;10A;06B;02B;04M;02G;04H;
NAN XIANG DUMPLING HOUSE,
ROSA MEXICANO,10F;08A;10B;04L;02G;08A;06E;06C;04N;10H;;04L;04C;16B;10F;08A;08A;10B;04H;06D;02B;08C;04L;10G;10F;08A;10B;04I;08A;10F;10B;10F;06A;06B;02G;04C;04M;02G;99B;04M;08A;04L;09D;04M;02G;06D;99B;04L;06F;08A;06D;06E;04N;08A;
ASIATE,
NHA TRANG ONE,
HAPISGAH,
GRAND SICHUAN INTERNATIONAL - CHELSEA,
BUDDHA BODAI,
MORIMOTO,
BALI NUSA INDAH,
HOP KEE,
BANN,10H;09C;06D;10F;04O;10F;06D;04C;02G;08A;99B;08A;04N;08C;06C;06E;06E;06E;04N;08A;
HAN JOO CHIK NAENG MYUN & BBQ,
CELESTE,04H;06C;04N;10F;06D;08C;10B;04N;02A;10F;10G;09C;02G;10B;06E;04M;
PURE THAI COOKHOUSE,
EL QUIJOTE,04N;08A;10B;08B;10G;09D;09D;06B;10F;08A;10F;05D;06F;09C;08A;04M;10B;04O;04H;06C;04L;04A;06B;06C;99B;04I;10B;06D;10E;06D;06C;10F;06C;10F;10B;06D;06E;02G;04I;10G;02G;06D;02G;06D;02G;04M;06C;08A;10G;15L;02A;06E;02G;
LEGEND RESTAURANT,
QI,;06F;10F;10B;06D;06E;02G;02G;02G;10C;06E;10A;22C;18I;;06D;06F;
CARA MIA,10B;10F;02B;10E;02G;08A;04M;06A;04M;06F;10G;06A;10B;06F;08A;10K;04M;06D;04L;04L;04L;08A;10F;04M;08A;10F;06D;04C;04C;06D;10F;06A;04L;04N;04M;04L;10E;04M;08A;99B;02G;06E;10B;04H;06A;10B;10F;04H;06C;;04M;08A;10A;10B;10H;04M;02G;04N;10A;10G;04N;10B;;02G;04I;06D;10G;08A;99B;10F;09A;08A;04L;04N;
